learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.36,0.0,10000.0,80.55,59.560036483708366,59.00948366701792,53.74554102259215,10000.0,0.0,43.0,34.0,34.0,3.0,0.0,0.0,1.0
20000.0,0.55,0.0,20000.0,83.89,66.55206475287727,66.53162979121221,61.47315556618438,20000.0,0.0,61.0,46.0,46.0,4.0,0.0,0.0,1.0
30000.0,0.64,0.0,30000.0,85.64666666666668,70.28327464989371,70.1573220597408,65.7111004937092,30000.0,0.0,67.0,49.0,49.0,4.0,0.0,0.0,1.0
40000.0,0.74,0.0,40000.0,86.465,72.08403623936566,71.9670688137524,67.89991699276652,40000.0,0.0,93.0,65.0,65.0,4.0,0.0,0.0,1.0
50000.0,0.85,0.0,50000.0,87.088,73.38270087010714,73.37182924314291,69.33016627078385,50000.0,0.0,109.0,76.0,76.0,5.0,0.0,0.0,1.0
60000.0,0.95,0.0,60000.0,87.645,74.53342262060335,74.55113460812248,70.60083283759666,60000.0,0.0,123.0,83.0,83.0,5.0,0.0,0.0,1.0
70000.0,1.03,0.0,70000.0,88.04857142857144,75.38489447044172,75.41508713156426,71.57419047942646,70000.0,0.0,129.0,86.0,86.0,5.0,0.0,0.0,1.0
80000.0,1.1,0.0,80000.0,88.4325,76.19801445348952,76.16484224082421,72.52130534192477,80000.0,0.0,137.0,90.0,90.0,5.0,0.0,0.0,1.0
90000.0,1.19,0.0,90000.0,88.74,76.83940993166965,76.75314844126349,73.25697999683327,90000.0,0.0,159.0,101.0,101.0,5.0,0.0,0.0,1.0
100000.0,1.25,0.0,100000.0,89.042,77.46618851659767,77.38333574126437,73.96902318510072,100000.0,0.0,169.0,106.0,106.0,5.0,0.0,0.0,1.0
110000.0,1.32,0.0,110000.0,89.29545454545455,78.00598712332994,77.92504827431056,74.64852412427068,110000.0,0.0,195.0,122.0,122.0,6.0,0.0,0.0,1.0
120000.0,1.42,0.0,120000.0,89.53166666666667,78.49194186685095,78.41543669135208,75.21407994948896,120000.0,0.0,213.0,134.0,134.0,6.0,0.0,0.0,1.0
130000.0,1.51,0.0,130000.0,89.74692307692308,78.93285156631823,78.86767923391572,75.71069319921277,130000.0,0.0,230.0,144.0,144.0,6.0,0.0,0.0,1.0
140000.0,1.62,0.0,140000.0,89.97571428571428,79.39773632318517,79.36055062062474,76.22323122797505,140000.0,0.0,240.0,149.0,149.0,6.0,0.0,0.0,1.0
150000.0,1.68,0.0,150000.0,90.16333333333333,79.78441954106742,79.73826590865397,76.67193675889327,150000.0,0.0,249.0,155.0,155.0,6.0,0.0,0.0,1.0
160000.0,1.76,0.0,160000.0,90.316875,80.09898229023938,80.04739275457507,77.02119454785458,160000.0,0.0,263.0,162.0,162.0,6.0,0.0,0.0,1.0
170000.0,1.83,0.0,170000.0,90.48882352941176,80.45780559721703,80.41901301846806,77.4431160279572,170000.0,0.0,269.0,165.0,165.0,6.0,0.0,0.0,1.0
180000.0,1.9,0.0,180000.0,90.63777777777777,80.76594328893314,80.72316720238844,77.79417578073526,180000.0,0.0,278.0,171.0,171.0,6.0,0.0,0.0,1.0
190000.0,1.97,0.0,190000.0,90.79842105263158,81.09434293785205,81.04310111141231,78.15826295537455,190000.0,0.0,285.0,176.0,176.0,6.0,0.0,0.0,1.0
200000.0,2.03,0.0,200000.0,90.9365,81.38176288533742,81.33661429483351,78.49473846555385,200000.0,0.0,290.0,180.0,180.0,6.0,0.0,0.0,1.0
