Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
4089A;2013-05-07;24.4;15:40;10.2;07:30;17.3;31;18:30;14;15:50;0;0;0;0;0
4089A;2013-05-08;25.1;14:30;11.5;07:30;18.3;28;15:50;14;15:20;0;0;0;0;0
4089A;2013-05-09;26.6;17:30;12.6;07:10;19.6;44;16:30;20;17:00;0;0;0;0;0
4089A;2013-05-10;24.8;15:50;11.7;07:10;18.2;27;14:00;13;00:30;0;0;0;0;0
4089A;2013-05-11;24.9;18:30;9.0;06:50;16.9;26;17:10;13;17:10;0;0;0;0;0
4089A;2013-05-12;25.5;17:00;10.4;06:00;17.9;31;12:40;14;16:10;0;0;0;0;0
4089A;2013-05-13;26.2;17:40;11.2;07:20;18.7;27;11:40;17;11:50;0;0;0;0;0
4089A;2013-05-14;22.8;15:50;11.6;23:59;17.2;33;07:20;17;07:20;1.8;0;1.8;0;0
4089A;2013-05-15;16.2;12:30;7.2;23:59;11.7;42;11:30;22;11:30;1;0;0;0.8;0.2
4089A;2013-05-16;15.1;13:50;2.3;06:50;8.7;53;15:50;28;15:40;0.6;0.2;0;0.4;0
4089A;2013-05-17;10.9;14:00;5.8;23:59;8.3;51;08:00;22;17:10;;0.2;0;0;
4089A;2013-05-18;10.9;15:30;4.5;02:00;7.7;42;16:40;21;12:30;0;0;0;0;0
4089A;2013-05-19;;;;;;;;;;;0.2;0;;
4089A;2013-05-20;15.1;18:50;4.0;04:50;9.6;25;14:50;13;15:10;0.2;0.2;0;0;0
4089A;2013-05-21;18.2;16:40;3.6;05:20;10.9;37;20:40;17;20:10;0.2;0;0;0.2;0
4089A;2013-05-22;21.8;16:30;8.0;01:40;14.9;31;08:00;14;09:00;0;0;0;0;0
4089A;2013-05-23;22.2;17:20;6.0;06:50;14.1;32;12:50;16;11:50;0;0;0;0;0
4089A;2013-05-24;23.1;17:30;6.9;07:20;15;35;17:40;20;17:40;0;0;0;0;0
4089A;2013-05-25;25.0;17:10;5.1;06:40;15;37;14:40;15;17:50;0;0;0;0;0
4089A;2013-05-26;22.2;14:30;8.9;06:20;15.6;44;16:10;24;16:00;0;0;0;0;0
4089A;2013-05-27;20.0;18:00;8.2;05:20;14.1;40;16:40;19;16:20;0;0;0;0;0
4089A;2013-05-28;18.5;16:20;6.3;07:10;12.4;37;17:00;21;19:10;0;0;0;0;0
4089A;2013-05-29;17.7;17:10;5.5;07:30;11.6;44;16:50;23;16:50;0;0;0;0;0
4089A;2013-05-30;18.8;18:10;4.1;06:50;11.4;62;01:20;22;01:30;0;0;0;0;0
4089A;2013-05-31;19.6;16:50;7.4;07:00;13.5;42;13:20;21;11:40;0;0;0;0;0
4089A;2013-06-01;23.0;17:30;5.5;06:50;14.3;32;13:20;17;16:50;0;0;0;0;0
4089A;2013-06-02;25.7;17:40;6.4;07:10;16.1;20;23:50;10;23:59;0;0;0;0;0
4089A;2013-06-03;;;;;;;;;;;;0;0;0
4089A;2013-06-04;29.8;16:50;10.0;06:50;19.9;25;17:10;14;23:00;0;0;0;0;0
4089A;2013-06-05;28.8;16:00;12.1;06:40;20.4;39;18:30;24;19:40;0.6;0;0;0;0.6
4089A;2013-06-06;27.0;16:00;11.5;06:50;19.3;37;18:50;19;18:50;0.4;0.2;0.2;0;0
4089A;2013-06-07;;;;;;;;;;;0;0;0;
4089A;2013-06-08;17.6;17:10;7.8;07:20;12.7;37;16:30;18;16:30;0;0;0;0;0
4089A;2013-06-09;19.3;18:50;7.4;04:30;13.3;35;18:30;18;16:40;0;0;0;0;0
4089A;2013-06-10;25.5;17:40;9.9;07:00;17.7;26;12:30;14;17:30;0;0;0;0;0
4089A;2013-06-11;28.7;17:50;10.4;07:20;19.6;28;15:40;14;14:20;0;0;0;0;0
4089A;2013-06-12;32.3;18:00;13.0;07:10;22.6;24;15:10;9;18:10;0;0;0;0;0
4089A;2013-06-13;34.3;17:30;15.6;06:30;24.9;27;17:40;13;15:20;0;0;0;0;0
4089A;2013-06-14;35.3;17:10;15.8;07:10;25.5;32;15:50;17;15:50;0;0;0;0;0
4089A;2013-06-15;35.8;17:50;16.0;07:10;25.9;34;17:10;14;17:10;0;0;0;0;0
4089A;2013-06-16;37.0;17:20;15.1;07:10;26.1;40;19:00;15;19:30;0;0;0;0;0
4089A;2013-06-17;26.6;14:20;16.0;07:00;21.3;41;16:20;19;13:10;0;0;0;0;0
4089A;2013-06-18;21.3;17:00;11.0;06:10;16.1;41;19:20;19;17:50;0;0;0;0;0
4089A;2013-06-19;22.1;14:50;10.6;07:20;16.4;33;14:00;17;18:30;1.6;0.6;0.6;0.4;0
4089A;2013-06-20;28.0;17:20;10.4;07:10;19.2;30;14:20;13;17:30;0;0;0;0;0
4089A;2013-06-21;29.9;17:40;12.0;06:20;20.9;36;20:20;18;21:10;0.2;0;0;0;0.2
4089A;2013-06-22;31.3;17:50;11.2;04:10;21.2;28;17:50;12;15:30;0;0;0;0;0
4089A;2013-06-23;34.2;18:10;13.7;07:10;24;33;22:30;18;22:40;0;0;0;0;0
4089A;2013-06-24;32.7;16:50;13.3;07:20;23;27;10:50;15;09:10;0;0;0;0;0
4089A;2013-06-25;33.4;17:40;12.8;06:20;23.1;27;10:00;14;08:00;0;0;0;0;0
4089A;2013-06-26;33.3;17:00;13.2;07:10;23.2;37;12:30;18;21:20;0;0;0;0;0
4089A;2013-06-27;32.1;17:00;13.1;07:20;22.6;37;11:20;17;10:00;0;0;0;0;0
4089A;2013-06-28;32.4;18:10;13.6;06:40;23;28;11:40;15;09:50;0;0;0;0;0
4089A;2013-06-29;32.6;16:40;13.6;07:10;23.1;28;18:10;14;12:00;0;0;0;0;0
4089A;2013-06-30;34.9;17:00;14.1;06:30;24.5;32;18:20;16;12:40;0;0;0;0;0
4089A;2013-07-01;34.8;16:30;14.0;07:10;24.4;31;09:30;17;10:20;0;0;0;0;0
4089A;2013-07-02;34.1;17:20;15.1;07:10;24.6;33;02:00;16;01:00;0;0;0;0;0
4089A;2013-07-03;35.7;17:30;15.5;07:00;25.6;29;15:00;12;22:50;0;0;0;0;0
4089A;2013-07-04;36.9;18:00;17.9;06:40;27.4;31;21:30;17;22:00;0;0;0;0;0
4089A;2013-07-05;35.9;18:00;16.9;07:00;26.4;33;16:10;18;13:10;0;0;0;0;0
4089A;2013-07-06;35.9;17:20;16.3;07:20;26.1;34;14:20;17;13:30;0;0;0;0;0
4089A;2013-07-07;37.3;17:30;17.3;07:30;27.3;27;15:20;13;12:00;0;0;0;0;0
4089A;2013-07-08;37.1;16:40;16.8;06:50;26.9;32;12:30;17;11:30;;0;0;;0
4089A;2013-07-09;38.1;17:20;17.5;07:00;27.8;54;21:10;28;22:10;0.6;0;0;0;0.6
4089A;2013-07-10;36.5;17:50;15.8;05:30;26.2;42;22:10;23;22:10;0.4;0.2;0.2;0;0
4089A;2013-07-11;36.9;18:00;16.8;05:30;26.9;32;23:00;19;22:40;0;0;0;0;0
4089A;2013-07-12;37.3;18:00;17.4;06:50;27.3;29;00:10;13;00:10;0;0;0;0;0
4089A;2013-07-13;36.0;17:00;16.3;07:20;26.1;36;15:30;14;19:20;0;0;0;0;0
4089A;2013-07-14;35.3;18:00;15.7;06:40;25.5;39;20:40;20;20:40;0;0;0;0;0
4089A;2013-07-15;35.5;16:40;16.8;07:00;26.1;31;21:40;17;22:00;0;0;0;0;0
4089A;2013-07-16;35.7;17:50;17.3;07:10;26.5;26;00:10;15;00:10;0;0;0;0;0
4089A;2013-07-17;35.4;16:30;16.8;07:20;26.1;41;17:00;14;17:50;0;0;0;0;0
4089A;2013-07-18;36.4;16:40;18.0;07:20;27.2;38;23:40;20;23:30;0;0;0;0;0
4089A;2013-07-19;37.8;18:10;16.9;07:20;27.3;32;01:00;16;00:30;0;0;0;0;0
4089A;2013-07-20;36.9;17:10;17.9;07:10;27.4;31;21:50;18;21:50;0;0;0;0;0
4089A;2013-07-21;34.8;15:20;17.8;07:20;26.3;45;21:00;20;21:20;0;0;0;0;0
4089A;2013-07-22;35.2;16:00;16.3;07:10;25.8;30;00:10;15;00:10;0;0;0;0;0
4089A;2013-07-23;34.4;15:30;18.8;07:30;26.6;36;01:10;19;00:30;0;0;0;0;0
4089A;2013-07-24;36.7;17:20;17.4;07:20;27.1;26;17:40;12;17:30;0;0;0;0;0
4089A;2013-07-25;37.9;17:40;18.2;07:30;28.1;33;16:50;12;17:00;0;0;0;0;0
4089A;2013-07-26;36.9;17:00;19.0;07:40;28;33;16:50;17;01:40;0;0;0;0;0
4089A;2013-07-27;31.0;16:40;17.3;07:20;24.1;42;17:30;19;20:20;0;0;0;0;0
4089A;2013-07-28;26.5;14:00;15.6;07:20;21.1;35;18:10;17;18:20;0;0;0;0;0
4089A;2013-07-29;31.2;17:50;12.8;07:40;22;23;15:10;13;01:10;0;0;0;0;0
4089A;2013-07-30;35.6;17:00;15.2;06:50;25.4;28;23:30;18;23:20;0;0;0;0;0
4089A;2013-07-31;36.2;15:40;16.1;07:30;26.2;36;14:50;18;16:50;0;0;0;0;0
4089A;2013-08-01;39.4;16:50;18.1;07:10;28.8;41;21:50;22;22:10;0;0;0;0;0
4089A;2013-08-02;39.6;16:40;18.9;07:40;29.2;28;16:50;13;11:50;0;0;0;0;0
4089A;2013-08-03;36.5;16:10;19.7;07:40;28.1;32;19:00;15;17:10;0;0;0;0;0
