Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C665T;2013-05-07;29.7;12:10;14.7;02:10;22.2;23;13:10;14;13:10;0;0;0;0;0
C665T;2013-05-08;31.1;14:10;16.1;22:00;23.6;24;11:40;16;11:10;0;0;0;0;0
C665T;2013-05-09;30.6;13:20;15.9;07:30;23.3;24;11:40;19;09:20;0;0;0;0;0
C665T;2013-05-10;30.8;13:10;14.5;06:30;22.6;20;13:50;13;06:40;0;0;0;0;0
C665T;2013-05-11;30.8;15:30;13.3;07:00;22;25;08:40;21;08:30;0;0;0;0;0
C665T;2013-05-12;30.4;12:20;17.4;00:00;23.9;22;12:30;16;10:40;0;0;0;0;0
C665T;2013-05-13;20.6;01:30;11.6;23:50;16.1;29;19:40;17;11:40;0;0;0;0;0
C665T;2013-05-14;15.7;16:40;10.8;07:20;13.3;39;21:40;23;21:40;0.8;0;0.6;0.2;0
C665T;2013-05-15;14.9;16:50;9.3;06:50;12.1;40;03:10;25;01:00;0.6;0.4;0;0.2;0
C665T;2013-05-16;16.8;12:20;9.1;07:00;12.9;37;06:50;24;06:40;9.8;0;0;7.6;2.2
C665T;2013-05-17;16.4;16:30;7.6;05:20;12;31;10:00;19;21:20;6;1;4.4;0.4;0.2
C665T;2013-05-18;13.3;16:30;9.1;23:10;11.2;34;07:40;18;01:30;2.6;0.2;1.4;1;0
C665T;2013-05-19;;;;;;;;;;;0;0;;
C665T;2013-05-20;15.2;17:20;9.1;06:30;12.2;26;13:10;13;12:50;0.4;0.2;0.2;0;0
C665T;2013-05-21;18.0;15:30;9.2;00:00;13.6;29;14:20;16;13:50;0.4;0;0.4;0;0
C665T;2013-05-22;14.9;12:50;8.7;06:00;11.8;22;13:00;12;15:30;0;0;0;0;0
C665T;2013-05-23;16.5;13:50;9.0;04:00;12.8;25;11:50;14;11:50;0;0;0;0;0
C665T;2013-05-24;17.0;16:20;8.6;06:10;12.8;27;14:50;14;14:40;0;0;0;0;0
C665T;2013-05-25;16.2;12:10;9.9;02:50;13.1;23;11:50;13;13:10;0;0;0;0;0
C665T;2013-05-26;14.0;14:10;9.4;07:20;11.7;26;07:20;15;07:20;0;0;0;0;0
C665T;2013-05-27;14.5;13:00;9.2;22:50;11.8;25;09:40;15;08:00;0.8;0.2;0.4;0;0.2
C665T;2013-05-28;;;;;;;;;;;;;;
C665T;2013-05-29;15.5;18:30;9.7;00:20;12.6;24;01:10;11;23:59;10.4;0;7.4;1;2
C665T;2013-05-30;15.7;16:20;8.6;07:00;12.2;30;20:50;15;20:50;3;0.4;0.2;0.2;2.2
C665T;2013-05-31;12.8;13:50;9.9;21:40;11.3;28;09:00;15;09:00;3.6;1.2;2.4;0;0
C665T;2013-06-01;16.3;13:30;9.7;01:10;13;23;13:40;13;14:30;0.2;0.2;0;0;0
C665T;2013-06-02;23.5;16:50;8.6;07:00;16.1;22;04:50;14;02:40;0;0;0;0;0
C665T;2013-06-03;19.0;14:40;10.9;23:30;14.9;19;11:40;11;19:10;0;0;0;0;0
C665T;2013-06-04;17.2;12:00;10.3;03:10;13.8;25;13:10;17;13:20;0;0;0;0;0
C665T;2013-06-05;17.6;15:30;10.4;03:40;14;31;15:40;16;16:00;0;0;0;0;0
C665T;2013-06-06;17.5;15:20;10.2;02:40;13.8;26;16:30;14;05:00;0;0;0;0;0
C665T;2013-06-07;18.1;17:00;10.2;06:20;14.2;23;17:00;13;16:40;0;0;0;0;0
C665T;2013-06-08;16.7;14:40;10.1;07:00;13.4;26;05:20;13;06:10;0;0;0;0;0
C665T;2013-06-09;20.5;12:50;9.5;04:00;15;26;16:20;14;16:10;0.2;0.2;0;0;0
C665T;2013-06-10;17.0;16:30;10.2;06:10;13.6;24;14:50;14;14:50;0;0;0;0;0
C665T;2013-06-11;21.3;15:50;10.4;21:50;15.8;22;12:10;10;11:20;0;0;0;0;0
C665T;2013-06-12;22.2;13:10;10.8;06:30;16.5;22;18:20;12;16:20;0;0;0;0;0
C665T;2013-06-13;15.0;14:10;12.1;03:30;13.6;28;09:10;18;08:40;2.6;0;1.6;0;1
C665T;2013-06-14;17.2;18:20;11.4;07:10;14.3;21;00:20;12;17:50;0.2;0.2;0;0;0
C665T;2013-06-15;23.6;15:40;12.0;08:00;17.8;18;21:00;8;13:10;0;0;0;0;0
C665T;2013-06-16;24.2;08:20;11.5;23:30;17.9;21;15:40;13;16:30;0;0;0;0;0
C665T;2013-06-17;19.0;15:30;11.0;02:10;15;23;05:20;14;05:00;0;0;0;0;0
C665T;2013-06-18;16.0;14:40;10.9;09:30;13.4;25;08:30;13;06:40;6.8;3.4;3.4;0;0
C665T;2013-06-19;16.7;17:00;10.2;06:50;13.5;23;13:00;14;13:00;0.6;0.2;0.4;0;0
C665T;2013-06-20;13.6;14:10;11.3;04:00;12.5;25;13:40;14;16:20;2.2;0.2;1.6;0.2;0.2
C665T;2013-06-21;18.0;13:10;9.8;04:50;13.9;24;21:50;11;01:50;0.6;0;0;0;0.6
C665T;2013-06-22;17.5;16:50;11.1;23:59;14.3;23;06:10;12;04:00;1.8;1.4;0.4;0;0
C665T;2013-06-23;23.3;13:30;10.3;01:10;16.8;17;23:40;10;21:00;0;0;0;0;0
C665T;2013-06-24;21.9;15:30;10.9;07:00;16.4;18;03:40;12;03:00;0;0;0;0;0
C665T;2013-06-25;24.9;09:40;10.9;00:40;17.9;16;23:20;14;23:20;0;0;0;0;0
C665T;2013-06-26;26.0;09:20;14.9;21:10;20.4;22;05:00;16;05:00;0;0;0;0;0
C665T;2013-06-27;36.1;13:30;20.2;04:00;28.1;29;08:40;20;07:40;0;0;0;0;0
C665T;2013-06-28;32.2;13:50;19.3;21:40;25.8;42;11:30;27;11:10;0;0;0;0;0
C665T;2013-06-29;30.4;13:10;18.7;03:20;24.6;39;17:40;19;07:20;0;0;0;0;0
C665T;2013-06-30;27.0;13:30;16.7;23:50;21.9;33;15:00;15;01:10;0;0;0;0;0
C665T;2013-07-01;27.4;12:20;16.8;00:40;22.1;27;15:10;12;15:10;0;0;0;0;0
C665T;2013-07-02;29.3;12:20;17.1;06:10;23.2;38;05:40;19;01:20;0;0;0;0;0
C665T;2013-07-03;29.1;15:20;17.7;03:30;23.4;22;01:20;14;01:40;0;0;0;0;0
C665T;2013-07-04;28.2;10:10;13.1;23:59;20.7;17;01:10;12;03:30;0;0;0;0;0
C665T;2013-07-05;21.8;15:00;12.0;01:10;16.9;22;18:40;14;21:40;0;0;0;0;0
C665T;2013-07-06;22.5;14:40;11.5;04:20;17;26;18:00;20;23:20;0;0;0;0;0
